REF_AREA,ACTIVITY,TIME_PERIOD,B1G,SAL,Produtividade_Trabalho,Prod_Projetada_Contrafactual,Choque_Estrutural_Percentual
AUS,A,2015,40163.0,572.549,70.14770788177083,75.8926952734937,-7.569881885232466
AUS,A,2016,48017.0,582.255,82.46730384453546,77.58023216571428,6.299377486241875
AUS,A,2017,45704.0,544.541,83.93123750094115,79.26776905793486,5.883183667750114
AUS,A,2018,41533.0,519.506,79.94710359456869,80.95530595015543,-1.2453814407266894
AUS,A,2019,40081.0,501.982,79.84549246785741,82.64284284237601,-3.384867071736586
AUS,A,2020,48206.0,497.232,96.94870804775236,84.33037973459659,14.962968686810129
AUS,A,2021,62452.0,528.193,118.23708379323467,86.01791662681717,37.45634448018329
AUS,A,2022,66273.0,533.818,124.1490545466807,87.70545351903775,41.55226336037627
AUS,A,2023,54556.0,548.573,99.45075678168632,89.39299041125878,11.251180125148608
AUS,A,2024,62986.0,203.164,310.0253982004686,91.08052730347936,240.38603791507182
AUS,A01,2015,36449.1820119987,381.929,95.43444465332225,103.52000901589417,-7.8106294999747305
AUS,A01,2016,43933.3280897468,352.262,124.71776146659816,108.54663274145787,14.897863081259777
AUS,A01,2017,41604.3457659959,394.4,105.4876921044521,113.57325646702338,-7.11925026550505
AUS,A01_02,2015,38281.1994645248,406.65,94.1379551568297,101.25277831157837,-7.026793015846633
AUS,A01_02,2016,45774.0399431771,378.478,120.94240601349908,106.71275970400347,13.334531267830908
AUS,A01_02,2017,43496.1842441323,414.021,105.05791794168002,112.17274109642858,-6.342738070947518
AUS,A02,2015,1832.01745252615,24.721,74.107740484857,69.09103929239427,7.261001200505879
AUS,A02,2016,1840.71185343027,26.216,70.21329926114853,80.24670164607232,-12.503195993246008
AUS,A02,2017,1891.83847813642,19.621,96.41906519221344,91.40236399975038,5.48859019934842
AUS,A03,2015,1881.80053547523,18.787,100.16503622053708,103.2768400189434,-3.0130703048578455
AUS,A03,2016,2242.96005682293,21.226,105.67040689828184,99.44679930147049,6.2582281587008515
AUS,A03,2017,2207.81575586772,23.867,92.5049547855918,95.61675858399849,-3.2544543911441903
AUS,B,2015,96187.0,481.307,199.84542090599135,128.29261955822585,55.77312365602693
AUS,B,2016,132404.0,489.51,270.4827276255848,292.26200744952075,-7.4519709263605405
AUS,B,2017,149702.0,535.881,279.356797497952,456.23139534081565,-38.76861602449216
AUS,B,2018,190557.0,253.038,753.0766129988381,620.2007832320523,21.424647204463355
AUS,B,2019,202484.0,260.13,778.3954176757775,784.1701711233472,-0.7364158520971609
AUS,B,2020,222489.0,261.796,849.8563767208055,948.1395590146421,-10.365898285688846
AUS,B,2021,313986.0,281.518,1115.3318793114474,1112.108946905937,0.28980365767914407
AUS,B,2022,349236.0,298.274,1170.856326733138,1276.0783347971737,-8.24573266348575
AUS,B,2023,292712.0,309.54,945.6354590682948,1440.0477226884686,-34.333047150488916
AUS,B,2024,257665.0,293.916,876.6620394942773,1604.0171105797635,-45.345842403301276
AUS,B05_06,2015,39751.0,149.734,265.4774466720985,308.5446310592233,-13.958170083620203
AUS,B05_06,2016,62978.0,131.041,480.5976755366641,394.4633067624527,21.83583803552147
AUS,B05_06,2017,79841.0,182.571,437.3147980785557,480.3819824656821,-8.965195606644771
AUS,B07_08,2015,48867.0,158.612,308.09144327037046,307.31001311671207,0.25428073290980624
AUS,B07_08,2016,62688.0,214.227,292.62417902505285,294.1870393323625,-0.5312471653599826
AUS,B07_08,2017,62194.0,220.667,281.84549570166814,281.06406554800924,0.2780256352356236
AUS,B09,2015,7569.0,128.3,58.99454403741231,57.091542616465354,3.333245755384673
AUS,B09,2016,6738.0,126.399,53.307383760947474,57.113386602841395,-6.663941797674056
AUS,B09,2017,7667.0,129.865,59.0382320101644,57.135230589217436,3.330697017097717
AUS,BTE,2015,239180.0,249.929,956.9917856671294,969.8182407168788,-1.3225627763268522
AUS,BTE,2016,279431.0,250.501,1115.4885609239084,1087.76811396642,2.548378335563539
AUS,BTE,2017,303458.0,258.379,1174.46851330797,1205.7179872159613,-2.5917730546715423
AUS,BTE,2018,349220.0,257.858,1354.3112876079083,1323.6678604655317,2.315038995628349
AUS,BTE,2019,362930.0,254.272,1427.3297885728668,1441.617733715073,-0.9911049793613347
AUS,BTE,2020,386319.0,255.877,1509.7839977801834,1559.5676069646142,-3.192141780972524
AUS,BTE,2021,486419.0,268.038,1814.7389549243017,1677.5174802141555,8.180032478268306
