TIME_PERIOD,ACTIVITY,B1G,SAL,Produtividade_Trabalho,REF_AREA,Prod_Projetada_Contrafactual,Choque_Estrutural_Percentual
2015,A,5890611.499,6234.1683,944.8913175796039,G7,992.6580902123587,-4.812006581494355
2016,A,6435381.944,6277.626700000001,1025.129758671378,G7,985.7290570798468,3.9971127267215856
2017,A,6574161.999,6411.2179,1025.4154673170601,G7,978.8000239473367,4.762509422683814
2018,A,6144514.437,6457.679,951.5050898318111,G7,971.8709908148248,-2.0955354337656273
2019,A,6126508.183999999,6468.9861,947.0584863368309,G7,964.9419576823129,-1.8533209384361538
2020,A,6101862.463,6203.0071,983.6942574191154,G7,958.0129245498028,2.68068751592061
2021,A,5967828.839,6213.5283,960.457336132194,G7,951.0838914172909,0.9855539347780162
2022,A,5648519.808824647,6394.5807,883.3291929249789,G7,944.154858284779,-6.442339921895924
2023,A,6005977.656695919,6468.9848999999995,928.4266000831011,G7,937.225825152269,-0.938858579546531
2024,A,86535.5569721692,1002.4262,86.32611255788127,G7,930.296792019757,-90.72058365691453
2025,A,38952.0,468.5187,83.13862392258835,G7,923.3677588872451,-90.99615260307777
2015,A01,290783.773,3018.951,96.31947421471895,G7,92.99097221418879,3.5793818703858005
2016,A01,273882.805,3116.04,87.89450873544627,G7,92.26105007670549,-4.732811232506995
2017,A01,295281.28500000003,3246.052,90.96628304167648,G7,91.53112793922219,-0.6171068905878374
2018,A01,292090.4,3184.709,91.71651161848698,G7,90.80120580173889,1.0080326672606388
2019,A01,293299.243,3231.632,90.75886208578204,G7,90.07128366425536,0.7633714026877403
2020,A01,310638.89455942303,3179.574,97.69827485047463,G7,89.34136152677206,9.353913104624368
2021,A01,342367.731860836,3182.89,107.56505309980426,G7,88.61143938928876,21.389578863794622
2022,A01,406323.90785565,2827.576,143.7004373554062,G7,87.88151725180546,63.51610878959191
2023,A01,320373.884542555,2447.175,130.9158047718512,G7,87.15159511432216,50.21618892932575
2024,A01,37010.92572544,405.091,91.36447298369995,G7,86.42167297683886,5.719398660780106
2015,A01_02,317760.467,4313.8966013434,73.65973187698692,G7,72.2000047391582,2.0217826066665445
2016,A01_02,301706.294,4399.36477800599,68.57951300340869,G7,71.49114404402644,-4.072715690246442
2017,A01_02,322889.5,4489.698371656979,71.91786023719753,G7,70.78228334889468,1.6043236168370667
2018,A01_02,319606.843806118,4520.71767292774,70.69825344769471,G7,70.07342265376292,0.8916801410131292
2019,A01_02,319507.503,4626.78454902464,69.05605817918506,G7,69.36456195863116,-0.4447570499040876
2020,A01_02,338296.78926715,4458.5984801581,75.87514120696379,G7,68.6557012634994,10.515426702520037
2021,A01_02,370105.677378202,4467.76201207354,82.8391656444636,G7,67.94684056836763,21.9176122856094
2022,A01_02,434836.326277709,2612.82593663309,166.4237637039239,G7,67.23797987323587,147.51452083730584
2023,A01_02,344875.2754673409,2150.76813082178,160.3498166655318,G7,66.52911917810411,141.0220045695505
2024,A01_02,43982.1008628728,509.245,86.36727088704416,G7,65.82025848297235,31.216851585879613
2015,A02,26976.694000000003,1294.9456013434,20.832299034039647,G7,21.854529651201915,-4.677431331065273
2016,A02,27823.489,1283.32477800599,21.680785313934095,G7,21.48732604016925,0.9003413147042227
2017,A02,27608.215,1243.64637165698,22.19940943760084,G7,21.1201224291367,5.110230833582596
2018,A02,29529.652000000002,1336.00867292774,22.102889448530664,G7,20.75291881810415,6.504967528947514
2019,A02,26208.260000000002,1395.15254902464,18.785228911578425,G7,20.385715207071485,-7.851018613945293
2020,A02,27657.8947077266,1279.0244801581,21.624210589235798,G7,20.018511596038934,8.021070824838873
2021,A02,27737.9455173661,1284.87201207354,21.588100026089222,G7,19.651307985006383,9.85579200407718
2022,A02,28512.4184220589,651.24993663309,43.78106901547787,G7,19.28410437397372,127.03190237118727
2023,A02,24501.39092478581,611.59313082178,40.06158619189198,G7,18.916900762941168,111.77668950071329
2024,A02,6971.17513743276,104.154,66.93142018004839,G7,18.549697151908617,260.8221720922364
2015,A03,8951.733,120.6023986565958,74.22516550014261,G7,75.01940442894704,-1.0587113225574596
2016,A03,9675.251,130.8422219940145,73.94593925837337,G7,75.41325303929307,-1.9456975024736978
2017,A03,10172.699,129.1966283430244,78.73811515414246,G7,75.8071016496391,3.866410192081693
2018,A03,10295.385,132.1313270722587,77.91782030895489,G7,76.200950259985,2.2530822031906483
2019,A03,10601.381,142.8594509753595,74.20846802658183,G7,76.59479887033103,-3.115525961219734
2020,A03,8865.77373285035,119.1895198419006,74.38383630213788,G7,76.98864748067706,-3.3833704887372473
2021,A03,9421.86162179758,118.6059879264578,79.43833010892881,G7,77.38249609102297,2.6567171153119906
2022,A03,8872.88254693926,180.947063366912,49.035791915271034,G7,77.776344701369,-36.95282016203068
2023,A03,6968.081228578099,151.818869178223,45.897333225411785,G7,78.17019331171502,-41.28537837639791
2024,A03,2969.45610929639,23.105,128.5200653233668,G7,78.56404192206105,63.58637129548947
2015,B,772653.583,2527.7906000000003,305.663603227261,G7,312.61037944352574,-2.2221834824008857
2016,B,671928.307,2121.9321,316.65872202037,G7,323.43670987282894,-2.095614890197195
2017,B,782024.221,2198.2088,355.75520441916166,G7,334.2630403021285,6.429715979848427
2018,B,840901.0525868263,2401.0233,350.2261109198009,G7,345.08937073142806,1.4885246037817268
2019,B,821811.966,2395.8725,343.0115609240475,G7,355.9157011607276,-3.625617019591043
2020,B,681564.918713829,1929.1961000000001,353.2896001157316,G7,366.7420315900308,-3.668091005542895
2021,B,877826.385983204,1948.6199000000001,450.486206151956,G7,377.5683620193304,19.312487874419016
2022,B,1201128.680290834,2087.0905000000002,575.503879822573,G7,388.39469244862994,48.17501140252853
2023,B,1043596.605220366,2091.312538835123,499.01513324338276,G7,399.2210228779295,24.997208224669933
2024,B,185173.541578828,646.2336,286.5427325023459,G7,410.0473533072327,-30.11959955570046
2015,B05_06,236442.7065459935,1125.0686209846863,210.15847579061742,G7,210.7702248822534,-0.2902445504234352
2016,B05_06,208328.27761538772,1003.0830775272943,207.6879595346568,G7,237.00945210721693,-12.371444392561958
2017,B05_06,273812.90462311014,940.6035336932798,291.1034190441362,G7,263.24867933218775,10.581150789668037
2018,B05_06,317424.61250370805,979.1317104931436,324.1899012175143,G7,289.48790655715857,11.98737283123914
2019,B05_06,281020.5210434901,992.6418465596712,283.1036410740286,G7,315.7271337821221,-10.332812488205857
2020,B05_06,165286.6387935401,853.5297089610469,193.65071544461424,G7,341.9663610070929,-43.3714138214321
2021,B05_06,358825.81823614915,829.7599543267917,432.44533116481256,G7,368.20558823205647,17.446705043561117
2022,B05_06,542639.8599101349,881.0384894323752,615.9093687947054,G7,394.4448154570273,56.14589028913362
2023,B05_06,419422.9965751335,909.8583452823808,460.976149474084,G7,420.6840426819981,9.577759720860946
2024,B05_06,119395.514421349,200.084,596.7269467890935,G7,446.92326990696165,33.518880525804185
2015,B07_08,55527.509085795755,330.301958029538,168.11135306933323,G7,168.2821471131865,-0.10149266977108606
2016,B07_08,53820.80244802977,309.24099913481587,174.04161349435492,G7,177.1689476370957,-1.7651705812164464
2017,B07_08,63738.794084200854,333.2000003634777,191.29289920369192,G7,186.05574816100489,2.8148289394182013
2018,B07_08,66857.01798865336,343.6788198162974,194.53342520318725,G7,194.94254868491407,-0.2098687456826509
2019,B07_08,68420.03756127419,338.2116838046786,202.29944983446404,G7,203.82934920882326,-0.7505785502910256
2020,B07_08,72723.28776556574,300.0735628829326,242.35153229389022,G7,212.71614973273245,13.931891207316971
2021,B07_08,86271.24004885128,312.4907779331697,276.0761153319588,G7,221.60295025664163,24.58142592967785
2022,B07_08,95344.08392065889,319.5390550569317,298.38006469560224,G7,230.48975078055446,29.45480815747206
2023,B07_08,92472.36399661915,309.77457634065433,298.51502046742763,G7,239.37655130446365,24.705205602091574
2024,B07_08,38445.4158367029,169.937,226.23334433762452,G7,248.26335182837283,-8.873644590917273
2015,B09,71483.0683682107,461.10542098577577,155.02543478103203,G7,143.8729497350614,7.751620486344146
2016,B09,45579.6279365825,339.43492333788964,134.2809027673631,G7,148.06979878657876,-9.31242976772756
2017,B09,58872.82229268905,394.9654659432424,149.05815158317978,G7,152.2666478380943,-2.1071562948743128
2018,B09,72904.96450763856,456.6914696905591,159.63723727320078,G7,156.46349688961163,2.0284222497138016
2019,B09,68630.50839523571,420.19146963565015,163.3315127856963,G7,160.66034594112898,1.6626173863375948
2020,B09,46063.492154723455,282.3077281560205,163.1676626623057,G7,164.8571949926445,-1.0248459767947526
2021,B09,47345.12769820325,308.8402677400387,153.29972365538566,G7,169.05404404416186,-9.319102940040114
2022,B09,66203.33646004053,364.1234555106931,181.81563274244047,G7,173.25089309567738,4.943547183928931
2023,B09,75368.24464861264,369.3050783769649,204.0812571000748,G7,177.44774214719473,15.009216026421623
2024,B09,20427.6113207763,221.53,92.2114897340148,G7,181.64459119871208,-49.23521304681236
2015,BTE,130406695.463,74590.5309,1748.30094235192,G7,1755.52245775958,-0.4113598989144318
2016,BTE,131053458.359,74547.0023,1757.9976969644024,G7,1761.8248927771929,-0.2172290690454215
2017,BTE,134348694.78800002,75340.11129999999,1783.2293113164014,G7,1768.1273277948076,0.8541230761038632
2018,BTE,136443484.608,76456.3408,1784.59344483826,G7,1774.4297628124204,0.5727858176663103
2019,BTE,135315052.107,76599.9912,1766.5152435030566,G7,1780.7321978300333,-0.7983768892538268
2020,BTE,130581178.241,71285.03020000001,1831.8176744070452,G7,1787.0346328476462,2.505997406890592
2021,BTE,135897077.53800002,73372.4202,1852.154762887323,G7,1793.337067865259,3.279790290181128
2022,BTE,130885988.72338632,74603.5747,1754.4198015941229,G7,1799.639502882872,-2.5127088628756455
2023,BTE,144402465.06886658,74741.7407,1932.0190260014454,G7,1805.9419379004848,6.981237073852586
2024,BTE,1434475.691393409,15131.429699999999,94.80106770039113,G7,1812.2443729180977,-94.76885848745987
2025,BTE,924672.0,10701.4809,86.40598517537886,G7,1818.5468079357106,-95.24862462718455
2015,BTNXL,10866252.723563304,210458.55,51.63131991341433,G7,50.94226744041589,1.352614454793133
2016,BTNXL,11102017.802151067,213506.731,51.99844403102714,G7,52.295903801847544,-0.5688012811624676
2017,BTNXL,11490680.828241853,217015.563,52.94864879456527,G7,53.6495401632792,-1.3064256777985506
2018,BTNXL,12041246.617811896,220773.697,54.541128682607045,G7,55.00317652471085,-0.8400384692259122
2019,BTNXL,12762880.693049565,223407.875,57.128159394782145,G7,56.35681288614205,1.3686836943715086
2020,BTNXL,12553664.071,214331.481,58.57125613292431,G7,57.710449247573706,1.4915962301000452
2021,BTNXL,14231027.20118451,219834.899,64.73506829861672,G7,59.06408560900536,9.601406050966999
2022,BTNXL,651.710654401421,128613.166,0.005067215703261834,G7,60.417721970437015,-99.99161303084922
2023,BTNXL,687.4786825777619,130072.029,0.0052853690979000716,G7,61.77135833186867,-99.99144365731848
2024,BTNXL,247.17898760484934,40144.59,0.00615721788676505,G7,63.12499469329987,-99.99024599064651
2025,BTNXL,126.98001883405922,27073.0,0.004690282526282984,G7,64.47863105473152,-99.99272583420343
2015,C,113688479.40200001,66948.9019,1698.1380750921624,G7,1701.8204206016126,-0.2163768553293366
