TIME_PERIOD,ACTIVITY,B1G,SAL,Produtividade_Trabalho,REF_AREA,Prod_Projetada_Contrafactual,Choque_Estrutural_Percentual
2020,BTE,4064357.241,43673.6544,93.061991189819,BLOCO_OCDE,96.01205019277177,-3.0725924475414113
2021,BTE,4606049.538,44985.911,102.38871316844066,BLOCO_OCDE,98.01784601264035,4.459256486045038
2022,BTE,5183172.72338631,45984.8231,112.71485620624927,BLOCO_OCDE,100.02364183250893,12.688214647285045
2023,BTE,5485291.17714399,45850.2151,119.63501512872924,BLOCO_OCDE,102.02943765237751,17.25539009274495
2024,BTE,916055.0,10902.4497,84.02285955971895,BLOCO_OCDE,104.03523347224609,-19.236150335420664
2025,BTE,924672.0,10701.4809,86.40598517537886,BLOCO_OCDE,106.04102929211467,-18.51645938162908
2015,BTNXL,10865969.395489639,142123.9,76.454202252328,BLOCO_OCDE,75.4115910005853,1.3825610067484284
2016,BTNXL,11101732.779323973,144361.2,76.9024694954321,BLOCO_OCDE,77.37253002249918,-0.6075289601236822
2017,BTNXL,11490391.919792535,146794.9,78.27514388982543,BLOCO_OCDE,79.33346904441305,-1.3340210220671667
2018,BTNXL,12040953.993927838,149297.4,80.65079494973013,BLOCO_OCDE,81.29440806632692,-0.7917065046733396
2019,BTNXL,12762583.543416373,151242.8,84.38473463474872,BLOCO_OCDE,83.2553470882408,1.356534548238586
2020,BTNXL,12553364.071,144141.8,87.09037954985995,BLOCO_OCDE,85.21628611015467,2.1992198032225074
2021,BTNXL,14230716.708446115,148646.5,95.73529621246458,BLOCO_OCDE,87.177225132069,9.816865663515383
2022,BTNXL,323.60779859357905,56395.4,0.00573819493422476,BLOCO_OCDE,89.13816415398287,-99.99356258344707
2023,BTNXL,345.04049965945404,57172.0,0.006035130827318514,BLOCO_OCDE,91.09910317589674,-99.99337520281
2024,BTNXL,123.78796448684577,27279.0,0.004537848326069349,BLOCO_OCDE,93.06004219781062,-99.99512374138362
2025,BTNXL,126.98001883405922,27073.0,0.004690282526282984,BLOCO_OCDE,95.02098121972449,-99.99506395064955
2015,C,3210385.402,40368.2921,79.52740220089717,BLOCO_OCDE,79.12508971057923,0.5084512280358888
2016,C,3228204.549,40427.2603,79.85217214929601,BLOCO_OCDE,80.72170957976732,-1.0772039331154781
2017,C,3351027.967,40708.1071,82.31844233798824,BLOCO_OCDE,82.31832944895496,0.00013713717714747276
2018,C,3508969.424,41323.7614,84.914085870218,BLOCO_OCDE,83.91494931814259,1.1906538229409458
2019,C,3555817.0020000003,41843.2108,84.9795446863748,BLOCO_OCDE,85.51156918733022,-0.6221666916086166
2020,C,3334651.27,39027.0394,85.44463841651283,BLOCO_OCDE,87.10818905651786,-1.909752295419298
2021,C,3692081.982,40335.4502,91.53441857455702,BLOCO_OCDE,88.70480892570595,3.189916852445962
2022,C,4035940.89642552,41124.3292,98.13998124559123,BLOCO_OCDE,90.30142879489358,8.680430149673235
2023,C,4295415.31313571,42221.90108190312,101.73429436072416,BLOCO_OCDE,91.89804866408122,10.703432596918127
2024,C,779505.0,9948.4451,78.35445561236499,BLOCO_OCDE,93.49466853326885,-16.193664471377232
2025,C,787292.0,9719.1535,81.00417387172658,BLOCO_OCDE,95.09128840245648,-14.814306091961626
2015,C10,259863.41854264168,3163.93480304263,82.1329877887311,BLOCO_OCDE,81.21171902710444,1.1344037198857793
2016,C10,263791.2560976234,3231.257483867183,81.63733698557407,BLOCO_OCDE,81.7145288910607,-0.09446533747938801
2017,C10,266767.8185329025,3283.827215833,81.23686205129164,BLOCO_OCDE,82.21733875501695,-1.1925424959896125
2018,C10,268679.5063969897,3307.736501855078,81.22760269637746,BLOCO_OCDE,82.72014861897321,-1.8043317710546458
2019,C10,285727.7973577043,3367.370477690008,84.85190425311073,BLOCO_OCDE,83.22295848292947,1.9573274008462205
2020,C10,303010.3128699566,3374.60676960705,89.79129527000863,BLOCO_OCDE,83.72576834688573,7.2445162855869105
2021,C10,313793.9002011155,3380.862018354179,92.81476099810546,BLOCO_OCDE,84.22857821084199,10.193906830257093
2022,C10,291415.7718170292,3086.9455639506023,94.40262738034227,BLOCO_OCDE,84.73138807479825,11.413998431144012
2023,C10,295093.272499675,2535.253470556076,116.39596431947689,BLOCO_OCDE,85.2341979387545,36.56016849377035
2015,C10T12,347224.249,5549.1846000000005,62.57212077608663,BLOCO_OCDE,62.121619171203974,0.7251929535852852
2016,C10T12,353097.294,5708.849099999999,61.85087183334379,BLOCO_OCDE,61.63111369721878,0.35657012009329137
2017,C10T12,357392.174,5849.956099999999,61.09313777585442,BLOCO_OCDE,61.140608223233585,-0.07764143792263756
2018,C10T12,357742.991,6137.9529,58.28376281610111,BLOCO_OCDE,60.65010274924839,-3.9016255964654634
2019,C10T12,382969.433,6186.5905999999995,61.90314791478202,BLOCO_OCDE,60.159597275263195,2.8982086291919895
2020,C10T12,403816.82897177,5901.1963,68.42965535170725,BLOCO_OCDE,59.669091801278,14.681912001619612
2021,C10T12,416523.410355262,6249.2128,66.6521406272582,BLOCO_OCDE,59.178586327292805,12.62881519107637
2022,C10T12,413055.788639287,6447.9902999999995,64.05961693820895,BLOCO_OCDE,58.68808085330761,9.152686553727385
2023,C10T12,482660.500583586,6335.9482,76.17810079059453,BLOCO_OCDE,58.197575379322416,30.895660676717096
2015,C10_11,307710.7015661559,3511.6598740591244,87.62542860122537,BLOCO_OCDE,86.75562360781475,1.0025920594411541
2016,C10_11,313109.96997393563,3598.387984668565,87.01395494537677,BLOCO_OCDE,87.0597269336248,-0.05257538687541974
2017,C10_11,317229.4597478853,3674.528997876231,86.33200606968526,BLOCO_OCDE,87.36383025943485,-1.1810656500355954
2018,C10_11,320337.8262252693,3708.0567239641123,86.38967795584608,BLOCO_OCDE,87.6679335852449,-1.4580651979847148
2019,C10_11,338999.4721297478,3789.478356944238,89.45808372504084,BLOCO_OCDE,87.97203691105483,1.6892263339184588
2020,C10_11,353040.3675194776,3791.269873340175,93.1192922988737,BLOCO_OCDE,88.27614023686488,5.4863659070430115
2021,C10_11,368550.37629114743,3816.27408480133,96.57335089189058,BLOCO_OCDE,88.58024356267492,9.023577953429474
