REF_AREA,ACTIVITY,TIME_PERIOD,B1G,SAL,Produtividade_Trabalho
AUS,J59_60,2017,8311.0,122.36,67.92252370055574
AUS,J61,2015,22473.0,188.047,119.50735720325238
AUS,J61,2016,22136.0,190.735,116.05630849083806
AUS,J61,2017,22138.0,206.881,107.00837679632252
AUS,J62_63,2015,32270.0,385.974,83.60666780663983
AUS,J62_63,2016,34366.0,419.469,81.92738915152252
AUS,J62_63,2017,37927.0,467.048,81.20578612904883
AUS,K,2015,132375.0,52.556,2518.7419133876247
AUS,K,2016,136588.0,54.192,2520.4458222615885
AUS,K,2017,141436.0,54.836,2579.2545043402147
AUS,K,2018,146143.0,56.309,2595.3755172352558
AUS,K,2019,147282.0,58.66,2510.7739515854078
AUS,K,2020,153970.0,61.553,2501.4215391613734
AUS,K,2021,161916.0,62.287,2599.5151476230994
AUS,K,2022,177083.0,64.63,2739.950487389757
AUS,K,2023,187452.0,64.409,2910.3386172739833
AUS,K,2024,200420.0,517.971,386.93285917551367
AUS,K64,2015,91633.0,385.098,237.9472238235462
AUS,K64,2016,95028.0,396.204,239.84613986734107
AUS,K64,2017,98301.0,404.008,243.31448882200354
AUS,K65,2015,15058.0,171.685,87.70713807263301
AUS,K65,2016,14559.0,167.686,86.82299058955428
AUS,K65,2017,14626.0,189.61,77.13728178893518
AUS,K66,2015,25684.0,236.472,108.61328191075476
AUS,K66,2016,27001.0,245.848,109.82802381959584
AUS,K66,2017,28509.0,232.608,122.56242261659101
AUS,L,2015,193508.0,125.475,1542.2036262203626
AUS,L,2016,203857.0,124.455,1637.9976698405046
AUS,L,2017,212367.0,125.668,1689.905146894993
AUS,L,2018,221222.0,122.755,1802.1424789214288
AUS,L,2019,227108.0,119.602,1898.8645674821491
AUS,L,2020,234935.0,118.993,1974.3598362928913
AUS,L,2021,247363.0,125.292,1974.292053762411
AUS,L,2022,262388.0,130.174,2015.671332216879
AUS,L,2023,292209.0,132.907,2198.59751555599
AUS,L,2024,319969.712797471,186.503,1715.6276992727785
AUS,LTN,2015,329780.0,870.446,378.86324941466785
AUS,LTN,2016,351296.0,878.792,399.7487460058808
AUS,LTN,2017,370580.0,928.136,399.2733823491385
AUS,LTN,2018,389536.0,959.658,405.91127255751525
AUS,LTN,2019,401009.0,947.884,423.05704073494223
AUS,LTN,2020,412740.0,921.389,447.95412144056417
AUS,LTN,2021,447065.0,959.038,466.1598393390043
AUS,LTN,2022,486723.0,1013.441,480.2677215545848
AUS,LTN,2023,532009.0,1043.717,509.72533742384184
AUS,LTN,2024,573209.658791186,1427.501,401.5476408010825
AUS,M,2015,82470.0,1257.037,65.60666074268299
AUS,M,2016,90658.0,1222.933,74.13161636819025
AUS,M,2017,95641.0,1302.897,73.4064166238774
AUS,M,2018,100477.0,681.264,147.48614340402546
AUS,M,2019,105688.0,761.765,138.74095029306937
AUS,M,2020,111420.0,729.616,152.7104668757264
AUS,M,2021,124010.0,774.065,160.20618423517405
AUS,M,2022,139160.0,801.526,173.61882209685027
AUS,M,2023,150565.0,856.652,175.75981845603582
AUS,M,2024,160167.945993715,858.774,186.50767954515973
AUS,M_N,2015,136272.0,744.971,182.92255671697288
AUS,M_N,2016,147439.0,754.337,195.45508174728272
AUS,M_N,2017,158213.0,802.468,197.15801751596325
AUS,M_N,2018,168314.0,836.903,201.11530249025276
AUS,M_N,2019,173901.0,828.282,209.9538562953197
AUS,M_N,2020,177805.0,802.396,221.59258022223443
AUS,M_N,2021,199702.0,833.746,239.5237878202714
AUS,M_N,2022,224335.0,883.267,253.98322364585113
AUS,M_N,2023,239800.0,910.81,263.2821334855788
AUS,M_N,2024,253239.945993715,1240.998,204.0615262826491
AUS,N,2015,53802.0,604.882,88.94627381869522
AUS,N,2016,56781.0,578.064,98.22614796977498
AUS,N,2017,62572.0,592.788,105.5554430926402
AUS,N,2018,67837.0,360.705,188.06781164663644
AUS,N,2019,68213.0,398.256,171.27927765055645
AUS,N,2020,66385.0,366.635,181.06563748687387
AUS,N,2021,75692.0,356.954,212.04973189822778
AUS,N,2022,85175.0,379.443,224.47376812854634
AUS,N,2023,89235.0,366.454,243.50941728020433
AUS,N,2024,93072.0,382.224,243.5011930177069
AUS,N77,2015,6754.0,73.017,92.4990070805429
AUS,N77,2016,7107.0,70.671,100.5645880205459
AUS,N77,2017,7636.0,78.078,97.79963626117473
AUS,O,2015,91238.0,1317.333,69.25963290982614
AUS,O,2016,93203.0,1299.565,71.71861353606783
AUS,O,2017,95762.0,1356.504,70.59470521281176
AUS,O,2018,101855.0,779.174,130.7217643299186
AUS,O,2019,106956.0,834.797,128.12216622723847
AUS,O,2020,111828.0,850.758,131.4451348091937
AUS,O,2021,118408.0,881.596,134.31095422393022
AUS,O,2022,126188.0,872.338,144.6549387966591
AUS,O,2023,137943.0,912.4,151.1869793950022
AUS,O,2024,148089.0,940.962,157.3804255644755
AUS,OTQ,2015,286760.0,297.25,964.7098402018503
AUS,OTQ,2016,297827.0,312.536,952.93662170118
AUS,OTQ,2017,311696.0,319.518,975.5193760601908
AUS,OTQ,2018,333859.0,335.262,995.8152131765604
AUS,OTQ,2019,348929.0,345.241,1010.6823928791772
AUS,OTQ,2020,369806.0,356.763,1036.5592844549462
AUS,OTQ,2021,399591.0,373.863,1068.8166520891343
AUS,OTQ,2022,432221.0,408.737,1057.455038325378
AUS,OTQ,2023,473285.0,438.15,1080.1894328426338
AUS,OTQ,2024,509397.0,4224.629,120.57792530421015
AUS,OTU,2015,330559.0,494.391,668.6185630401848
AUS,OTU,2016,343145.0,519.618,660.3793556035395
AUS,OTU,2017,359167.0,527.183,681.2947306722713
AUS,OTU,2018,384011.0,550.64,697.3903094580852
AUS,OTU,2019,395294.0,544.185,726.3963541810231
AUS,OTU,2020,416035.0,544.631,763.8841711176925
AUS,OTU,2021,449710.0,569.536,789.607680638274
AUS,OTU,2022,489936.0,625.404,783.3912159180306
AUS,OTU,2023,535972.0,667.536,802.9110040507179
AUS,OTU,2024,575272.0,4686.336,122.75517589861246
AUS,P,2015,80804.0,1483.708,54.46085078735169
AUS,P,2016,83307.0,1570.826,53.0338815374841
AUS,P,2017,87260.0,1561.444,55.88416875661247
AUS,P,2018,92219.0,970.569,95.01539818395189
AUS,P,2019,96496.0,1015.077,95.0627390828479
AUS,P,2020,100399.0,1031.697,97.31442468088984
AUS,P,2021,104907.0,1059.601,99.0061353282981
AUS,P,2022,114083.0,1092.18,104.45439396436484
AUS,P,2023,123575.0,1128.873,109.46758404178325
AUS,P,2024,131642.0,1196.873,109.98827778720047
AUS,Q,2015,114718.0,2222.071,51.62661319102765
AUS,Q,2016,121317.0,2359.281,51.421174501892736
AUS,Q,2017,128674.0,2431.771,52.913699521871095
AUS,Q,2018,139785.0,1578.104,88.57781236217639
AUS,Q,2019,145477.0,1617.401,89.94491780331532
AUS,Q,2020,157579.0,1653.107,95.32292827989961
AUS,Q,2021,176276.0,1725.965,102.13185087762498
AUS,Q,2022,191950.0,1907.412,100.63373827993114
AUS,Q,2023,211767.0,2004.792,105.63040953874517
AUS,Q,2024,229666.0,2086.794,110.05686234482178
AUS,Q86,2015,65273.8226090341,1298.243,50.27858621924717
AUS,Q86,2016,68668.4837882027,1446.523,47.47140818929441
AUS,Q86,2017,71701.9620174493,1425.816,50.288369619536674
AUS,Q87_88,2015,49444.1773909659,923.828,53.520977271706315
AUS,Q87_88,2016,52648.5162117973,912.758,57.680695443696244
AUS,Q87_88,2017,56972.0379825507,1005.956,56.63472158081536
AUS,R,2015,13816.0,314.802,43.88790414292158
AUS,R,2016,14048.0,290.056,48.43202691893979
AUS,R,2017,14973.0,332.629,45.01411482462443
AUS,R,2018,15752.0,219.825,71.65699988627317
AUS,R,2019,14465.0,220.827,65.50376539100743
AUS,R,2020,14095.0,191.674,73.53631687135449
AUS,R,2021,15925.0,211.512,75.29123643102992
AUS,R,2022,18688.0,216.362,86.37376249064069
AUS,R,2023,19798.0,244.34,81.02643856920685
AUS,R,2024,20978.0,246.62,85.0620387640905
AUS,R90T92,2015,7985.31190269331,141.474,56.443670940903
AUS,R90T92,2016,7994.65075983525,135.398,59.0455601990816
AUS,R90T92,2017,8496.03866082104,160.419,52.96154857480123
AUS,R93,2015,5830.68809730669,173.328,33.63962024200758
AUS,R93,2016,6053.34924016475,154.657,39.14048016038556
AUS,R93,2017,6476.96133917896,172.21,37.61083177039057
AUS,RTU,2015,43799.0,197.141,222.17093349430104
