DATAFLOW,FREQ,REF_AREA,ACTIVITY,MEASURE,PRICE_BASE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,BASE_PER,UNIT_MULT,DECIMALS,EST_METHOD,OBS_STATUS
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,G45,B1G,V,XDC,2016,338508.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,J58T60,B1G,V,XDC,2016,273594.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C20_21,B1G,V,XDC,2016,834639.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,S96,B1G,V,XDC,2016,261232.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,Q86,B1G,V,XDC,2016,1062236.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,M74_75,B1G,V,XDC,2016,192482.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,N80T82,B1G,V,XDC,2016,570908.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C31_32,B1G,V,XDC,2016,257685.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C16T18,B1G,V,XDC,2016,289575.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,K,B1G,V,XDC,2016,1122561.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,H49,B1G,V,XDC,2016,1028775.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,M73T75,B1G,V,XDC,2016,313195.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C19,B1G,V,XDC,2016,237192.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C10T12,B1G,V,XDC,2016,679542.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,N77,B1G,V,XDC,2016,214638.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,J58,B1G,V,XDC,2016,135114.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,A01_02,B1G,V,XDC,2016,1399835.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C21,B1G,V,XDC,2016,437488.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,B,B1G,V,XDC,2016,44536.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,S95,B1G,V,XDC,2016,50128.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C19T23,B1G,V,XDC,2016,1782364.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,M69_70,B1G,V,XDC,2016,774363.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,E,B1G,V,XDC,2016,302566.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,Q,B1G,V,XDC,2016,1359687.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,R90T92,B1G,V,XDC,2016,278217.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C18,B1G,V,XDC,2016,79068.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,I,B1G,V,XDC,2016,503782.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,A01,B1G,V,XDC,2016,1326381.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,Q87_88,B1G,V,XDC,2016,297451.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,U,B1G,V,XDC,2016,0.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C31T33,B1G,V,XDC,2016,404031.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,OTU,B1G,V,XDC,2016,6249547.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,S94,B1G,V,XDC,2016,156001.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C29,B1G,V,XDC,2016,1534990.0,,6,1,,A
